country,year,arrivals_before,arrivals_after,percent_change,site_count,site_category
Canada,2008,17935000.0,15737000.0,-12.25536660161695,22,10 < 
Switzerland,2008,8448000.0,8294000.0,-1.8229166666666667,13,10 < 
China,2008,54720000.0,50875000.0,-7.0266812865497075,57,10 < 
Cuba,2008,2119000.0,2405000.0,13.496932515337424,9,0-10
Germany,2008,24421000.0,24220000.0,-0.8230621186683593,52,10 < 
France,2008,80853000.0,76764000.0,-5.057326258765908,52,10 < 
Croatia,2008,8559000.0,8694000.0,1.5772870662460567,10,10 < 
"Iran, Islamic Rep.",2008,2219000.0,2116000.0,-4.641730509238395,27,10 < 
Iceland,2008,485000.0,494000.0,1.8556701030927836,3,0-10
Israel,2008,2067000.0,2321000.0,12.288340590227383,9,0-10
Italy,2008,43654000.0,43239000.0,-0.9506574426169423,59,10 < 
Kazakhstan,2008,5311000.0,3774000.0,-28.939935981924307,6,0-10
Kenya,2008,1686000.0,1392000.0,-17.437722419928825,7,0-10
Cambodia,2008,2015000.0,2162000.0,7.295285359801489,4,0-10
Mexico,2008,21606000.0,22346000.0,3.4249745441081183,35,10 < 
Mauritius,2008,907000.0,871000.0,-3.9691289966923926,2,0-10
Malaysia,2008,20973000.0,23646000.0,12.744957802889429,4,0-10
Papua New Guinea,2008,104000.0,121000.0,16.346153846153847,1,0-10
Saudi Arabia,2008,11531000.0,10897000.0,-5.498222183678779,7,0-10
San Marino,2008,69000.0,151000.0,118.84057971014492,1,0-10
Vanuatu,2008,81000.0,100700.0,24.320987654320987,1,0-10
"Yemen, Rep.",2008,948000.0,1028000.0,8.438818565400844,5,0-10
Belgium,2009,7165000.0,7186000.0,0.2930914166085136,16,10 < 
Burkina Faso,2009,272000.0,274000.0,0.7352941176470588,3,0-10
Switzerland,2009,8608000.0,8628000.0,0.23234200743494424,13,10 < 
China,2009,53049000.0,55664000.0,4.929404889818847,57,10 < 
Cabo Verde,2009,285000.0,336000.0,17.894736842105264,1,0-10
Germany,2009,24884000.0,26875000.0,8.001125221025559,52,10 < 
Denmark,2009,9564000.0,9425000.0,-1.4533667921371811,11,10 < 
Spain,2009,57192000.0,52677000.0,-7.89446076374318,50,10 < 
