country,site_count,inscribed_2007,inscribed_2008,inscribed_2009,inscribed_2010,inscribed_2011,inscribed_2012,inscribed_2013,inscribed_2014,inscribed_2015,inscribed_2016,inscribed_2017,inscribed_2018,country_code,indicator_name,indicator_code,arrivals_2007,arrivals_2008,arrivals_2009,arrivals_2010,arrivals_2011,arrivals_2012,arrivals_2013,arrivals_2014,arrivals_2015,arrivals_2016,arrivals_2017,arrivals_2018,total_arrivals
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,ABW,"International tourism, number of arrivals",ST.INT.ARVL,772000.0,827000.0,813000.0,824000.0,869000.0,904000.0,979000.0,1072000.0,1225000.0,1102000.0,1070500.0,1082000.0,11539500.0
Afghanistan,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG,"International tourism, number of arrivals",ST.INT.ARVL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,AGO,"International tourism, number of arrivals",ST.INT.ARVL,195000.0,294000.0,366000.0,425000.0,481000.0,528000.0,650000.0,595000.0,592000.0,397000.0,261000.0,218000.0,5002000.0
Albania,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ALB,"International tourism, number of arrivals",ST.INT.ARVL,1062000.0,1247000.0,1711000.0,2191000.0,2469000.0,3156000.0,2857000.0,3341000.0,3784000.0,4070000.0,4643000.0,5340000.0,35871000.0
Andorra,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AND,"International tourism, number of arrivals",ST.INT.ARVL,2189000.0,2059000.0,1830000.0,1808000.0,2242000.0,2238000.0,2328000.0,2363000.0,2663000.0,2819000.0,3003000.0,3042000.0,28584000.0
United Arab Emirates,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARE,"International tourism, number of arrivals",ST.INT.ARVL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16232000.0,17472000.0,18967000.0,20394000.0,21286000.0,94351000.0
Argentina,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,ARG,"International tourism, number of arrivals",ST.INT.ARVL,4562000.0,4700000.0,4308000.0,6800000.0,6703000.0,6497000.0,6510000.0,7165000.0,6816000.0,6668000.0,6711000.0,6942000.0,74382000.0
Armenia,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARM,"International tourism, number of arrivals",ST.INT.ARVL,511000.0,558000.0,575000.0,684000.0,758000.0,963000.0,1084000.0,1204000.0,1192000.0,1260000.0,1495000.0,1652000.0,11936000.0
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,ASM,"International tourism, number of arrivals",ST.INT.ARVL,24100.0,24300.0,23500.0,23100.0,22600.0,22600.0,20800.0,21600.0,20300.0,20100.0,20000.0,20200.0,263200.0
Antigua and Barbuda,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,ATG,"International tourism, number of arrivals",ST.INT.ARVL,262000.0,266000.0,234000.0,230000.0,241000.0,247000.0,243000.0,249000.0,250000.0,265000.0,247000.0,269000.0,3003000.0
